Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	completeness	diversification	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	turnover
300	-729.7508	-578.6479	-151.103	792665.7	0.07564129	0.2089816	0.1031986	0.9463022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.17411	0.2500065	0.998573	0.999635	1.00036	1.00143	1.049501	8.33022	6.82117	6.70045	6.48231	3.06307	4.40853	1.41733	8.02873	5.30422	6.43408	6.00993	3.3529	1.62738	1.45643	3.40388	6.13486	6.54072	7.10893	3.32495	2.63572	3.24465	3.30012	3.32053	3.90319	3.38717	4.34534	0.9016689
310	-723.8056	-575.4967	-148.3089	535628.1	0.07436514	0.2674613	0.0761906	0.7487914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.52412	0.2733955	0.998264	0.999556	1.00044	1.00174	0.8249821	8.33022	6.82117	6.70045	6.48231	3.06307	4.40853	1.41733	8.02873	5.30422	6.43408	5.59852	4.13554	1.62738	1.45643	2.81956	6.13486	6.54072	6.99292	3.32495	2.53644	3.05254	3.91148	3.32053	3.34339	3.38717	3.84163	0.9076457
320	-714.7426	-573.806	-140.9366	492795.7	0.1051404	0.1331463	-0.06577085	1.445281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.72889	0.221991	0.99819	0.999537	1.00046	1.00181	1.37951	8.33022	6.82117	6.70045	6.48231	4.3521	4.40853	1.41733	8.02873	5.30422	6.43408	5.59852	4.13554	2.22758	1.31633	5.42299	6.13486	6.54072	6.99292	3.32495	2.53644	3.05254	3.91148	3.32053	3.34339	3.38717	3.84163	1.047677
330	-723.1388	-576.7633	-146.3755	671410.2	0.07168988	0.09347286	-0.01213371	2.076648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.12236	0.2141252	0.998449	0.999603	1.0004	1.00155	2.064515	8.33022	6.82117	6.70045	6.48231	4.3521	4.40853	1.20042	8.02873	5.30422	6.43408	5.59852	2.97156	1.80096	1.31633	5.42299	6.13486	6.54072	6.99292	3.32495	2.55143	3.05254	3.91148	3.32053	2.79846	3.02234	3.84163	1.005877
340	-720.5467	-570.7191	-149.8276	739440.5	0.08092784	0.03948525	-0.01786044	3.284602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.29343	0.1350248	0.998522	0.999622	1.00038	1.00148	3.266741	8.33022	6.82117	6.70045	6.48231	4.3521	4.40853	1.20042	8.02873	5.30422	6.43408	5.59852	3.81189	2.3077	1.31633	5.42299	6.13486	6.54072	6.99292	3.32495	2.55143	3.05254	3.91148	3.32053	2.79846	3.02234	3.84163	1.005467
350	-727.9094	-581.7759	-146.1335	915825.7	0.08910558	0.04973011	0.08901109	2.636711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.84962	0.137986	0.998672	0.99966	1.00034	1.00133	2.725722	8.33022	6.82117	6.70045	6.48231	2.99833	4.40853	1.20042	8.02873	5.30422	6.43408	5.59852	3.81189	2.3077	1.38456	4.96099	6.13486	6.54072	7.13187	3.32495	2.55143	3.05254	3.8347	3.32053	2.79846	3.02234	3.84163	0.967344
360	-729.1798	-582.1863	-146.9936	245573.4	0.09523352	0.05603365	0.09654106	2.005533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.41141	0.119048	0.997436	0.999344	1.00065	1.00257	2.102074	8.33022	6.82117	6.70045	6.48231	2.99833	4.40853	1.15955	7.94581	5.30422	6.30408	5.59852	3.81189	2.36169	1.38456	4.79935	6.13486	6.54072	7.13187	3.32495	2.55143	3.05254	3.8347	3.32053	2.79846	3.02234	4.79457	0.9540734
370	-728.6424	-586.6982	-141.9442	486140.7	0.1065549	0.08518892	0.03872053	1.994728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.27793	0.1857528	0.998178	0.999534	1.00047	1.00182	2.033449	8.34296	6.82117	6.70045	6.48231	2.99833	4.40853	1.15955	7.94581	5.30422	6.30408	5.59852	3.81189	2.36169	1.38456	5.26144	6.13486	6.54072	7.13187	3.32495	2.68696	3.05254	3.8347	3.32053	2.79846	3.02234	4.79457	0.9809582
380	-724.1644	-585.3845	-138.7799	915859.5	0.09437285	0.09177403	0.08237146	1.634096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.03957	0.1651214	0.998672	0.99966	1.00034	1.00133	1.716467	8.34296	6.82117	6.70045	6.48231	2.99833	4.40853	1.15955	7.94581	5.30422	6.30408	5.59852	3.81189	2.36169	1.56323	4.93681	6.13486	6.54072	7.13187	3.24621	2.68696	2.85502	3.8347	3.2812	2.88401	3.02234	4.79457	0.952011
390	-722.9028	-576.9459	-145.9568	281176.4	0.09788331	0.04655725	-0.0168064	2.596263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57541	0.1267773	0.997604	0.999387	1.00061	1.0024	2.579457	8.34296	6.82117	6.70045	6.48231	3.86623	4.40853	1.15955	7.94581	5.30422	6.30408	5.59852	3.19307	2.36169	1.42195	4.93681	6.13486	6.54072	6.85391	3.24621	2.76523	2.85502	3.8347	3.2812	2.59124	3.02234	4.79457	1.006515
